"";"X64.242.88.10......07.Mar.2004.16.05.49..0800.";"GET..twiki.bin.edit.Main.Double_bounce_sender.topicparent.Main.ConfigurationVariables.HTTP.1.1";"X401.12846"
"72";"64.242.88.10 - - [07/Mar/2004:17:22:49 -0800] ";"GET /twiki/bin/view/TWiki/ManagingWebs?rev=1.22 HTTP/1.1";" 200 9310"
"73";"64.242.88.10 - - [07/Mar/2004:17:22:49 -0800]  ";" 3 , 75 , 291 ";"  200 9310"
"74";"64.242.88.10 - - [07/Mar/2004:17:23:54 -0800] ";"GET /twiki/bin/statistics/Main HTTP/1.1";" 200 808"
"75";"64.242.88.10 - - [07/Mar/2004:17:23:54 -0800]  ";" 6 , 16 , 781 ";"  200 808"
"76";"64.242.88.10 - - [07/Mar/2004:17:26:30 -0800] ";"GET /twiki/bin/view/TWiki/WikiCulture HTTP/1.1";" 200 5935"
"77";"64.242.88.10 - - [07/Mar/2004:17:26:30 -0800]  ";" 3 , 18 , 339 ";"  200 5935"
"78";"64.242.88.10 - - [07/Mar/2004:17:27:37 -0800] ";"GET /twiki/bin/edit/Main/WebSearch?t=1078669682 HTTP/1.1";" 401 12846"
"79";"64.242.88.10 - - [07/Mar/2004:17:27:37 -0800]  ";" 7 , 22 , 348 ";"  401 12846"
"80";"64.242.88.10 - - [07/Mar/2004:17:28:45 -0800] ";"GET /twiki/bin/oops/TWiki/ResetPassword?template=oopsmore&param1=1.4&param2=1.4 HTTP/1.1";" 200 11281"
"81";"64.242.88.10 - - [07/Mar/2004:17:28:45 -0800]  ";" 3 , 6 , 399 ";"  200 11281"
"82";"64.242.88.10 - - [07/Mar/2004:17:29:59 -0800] ";"GET /twiki/bin/view/TWiki/ManagingWebs?skin=print HTTP/1.1";" 200 8806"
"83";"64.242.88.10 - - [07/Mar/2004:17:29:59 -0800]  ";" 6 , 53 , 545 ";"  200 8806"
"84";"64.242.88.10 - - [07/Mar/2004:17:31:39 -0800] ";"GET /twiki/bin/edit/Main/UvscanAndPostFix?topicparent=Main.WebHome HTTP/1.1";" 401 12846"
"85";"64.242.88.10 - - [07/Mar/2004:17:31:39 -0800]  ";" 8 , 17 , 157 ";"  401 12846"
"86";"64.242.88.10 - - [07/Mar/2004:17:35:35 -0800] ";"GET /twiki/bin/view/TWiki/KlausWriessnegger HTTP/1.1";" 200 3848"
"87";"64.242.88.10 - - [07/Mar/2004:17:35:35 -0800]  ";" 1 , 37 , 192 ";"  200 3848"
"88";"64.242.88.10 - - [07/Mar/2004:17:39:39 -0800] ";"GET /twiki/bin/view/Main/SpamAssassin HTTP/1.1";" 200 4081"
"89";"64.242.88.10 - - [07/Mar/2004:17:39:39 -0800]  ";" 4 , 86 , 213 ";"  200 4081"
"90";"64.242.88.10 - - [07/Mar/2004:17:42:15 -0800] ";"GET /twiki/bin/oops/TWiki/RichardDonkin?template=oopsmore&param1=1.2&param2=1.2 HTTP/1.1";" 200 11281"
"91";"64.242.88.10 - - [07/Mar/2004:17:42:15 -0800]  ";" 1 , 48 , 679 ";"  200 11281"
"92";"64.242.88.10 - - [07/Mar/2004:17:46:17 -0800] ";"GET /twiki/bin/rdiff/TWiki/AlWilliams?rev1=1.3&rev2=1.2 HTTP/1.1";" 200 4485"
"93";"64.242.88.10 - - [07/Mar/2004:17:46:17 -0800]  ";" 6 , 91 , 802 ";"  200 4485"
"94";"64.242.88.10 - - [07/Mar/2004:17:47:43 -0800] ";"GET /twiki/bin/rdiff/TWiki/AlWilliams?rev1=1.2&rev2=1.1 HTTP/1.1";" 200 5234"
"95";"64.242.88.10 - - [07/Mar/2004:17:47:43 -0800]  ";" 8 , 11 , 483 ";"  200 5234"
"96";"64.242.88.10 - - [07/Mar/2004:17:50:44 -0800] ";"GET /twiki/bin/view/TWiki/SvenDowideit HTTP/1.1";" 200 3616"
"97";"64.242.88.10 - - [07/Mar/2004:17:50:44 -0800]  ";" 8 , 86 , 103 ";"  200 3616"
"98";"64.242.88.10 - - [07/Mar/2004:17:53:45 -0800] ";"GET /twiki/bin/search/Main/SearchResult?scope=text&regex=on&search=Office%20*Locations[^A-Za-z] HTTP/1.1";" 200 7771"
"99";"64.242.88.10 - - [07/Mar/2004:17:53:45 -0800]  ";" 3 , 97 , 872 ";"  200 7771"
"100";"64.242.88.10 - - [07/Mar/2004:17:56:54 -0800] ";"GET /twiki/bin/view/TWiki/TextFormattingRules?rev=r1.31 HTTP/1.1";" 200 23338"
"101";"64.242.88.10 - - [07/Mar/2004:17:56:54 -0800]  ";" 1 , 90 , 94 ";"  200 23338"
"102";"64.242.88.10 - - [07/Mar/2004:17:58:00 -0800] ";"GET /twiki/bin/edit/Main/KevinWGagel?t=1078670331 HTTP/1.1";" 401 12846"
"103";"64.242.88.10 - - [07/Mar/2004:17:58:00 -0800]  ";" 2 , 58 , 187 ";"  401 12846"
"104";"64.242.88.10 - - [07/Mar/2004:18:00:09 -0800] ";"GET /twiki/bin/edit/Main/Virtual_mailbox_lock?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"105";"64.242.88.10 - - [07/Mar/2004:18:00:09 -0800]  ";" 8 , 73 , 372 ";"  401 12846"
"106";"64.242.88.10 - - [07/Mar/2004:18:02:10 -0800] ";"GET /twiki/bin/view/Main/WebPreferences HTTP/1.1";" 200 8820"
"107";"64.242.88.10 - - [07/Mar/2004:18:02:10 -0800]  ";" 6 , 7 , 191 ";"  200 8820"
"108";"64.242.88.10 - - [07/Mar/2004:18:04:05 -0800] ";"GET /twiki/bin/view/TWiki/WikiWord?rev=1.3 HTTP/1.1";" 200 6816"
"109";"64.242.88.10 - - [07/Mar/2004:18:04:05 -0800]  ";" 5 , 13 , 403 ";"  200 6816"
"110";"lj1125.inktomisearch.com - - [07/Mar/2004:18:06:14 -0800] ";"GET /twiki/bin/oops/Sandbox/WebChanges HTTP/1.0";" 200 209"
"111";"lj1125.inktomisearch.com - - [07/Mar/2004:18:06:14 -0800]  ";" 6 , 68 , 505 ";"  200 209"
"112";"64.242.88.10 - - [07/Mar/2004:18:09:00 -0800] ";"GET /twiki/bin/rdiff/Main/TWikiGuest HTTP/1.1";" 200 11314"
"113";"64.242.88.10 - - [07/Mar/2004:18:09:00 -0800]  ";" 7 , 84 , 416 ";"  200 11314"
"114";"64.242.88.10 - - [07/Mar/2004:18:10:09 -0800] ";"GET /twiki/bin/edit/TWiki/TWikiVariables?t=1078684115 HTTP/1.1";" 401 12846"
"115";"64.242.88.10 - - [07/Mar/2004:18:10:09 -0800]  ";" 5 , 50 , 101 ";"  401 12846"
"116";"d207-6-9-183.bchsia.telus.net - - [07/Mar/2004:18:10:18 -0800] ";"GET /pipermail/cncce/2004-January/000001.html HTTP/1.1";" 200 3095"
"117";"d207-6-9-183.bchsia.telus.net - - [07/Mar/2004:18:10:18 -0800]  ";" 8 , 82 , 209 ";"  200 3095"
"118";"d207-6-9-183.bchsia.telus.net - - [07/Mar/2004:18:10:20 -0800] ";"GET /pipermail/cncce/2004-January/000002.html HTTP/1.1";" 200 3810"
"119";"d207-6-9-183.bchsia.telus.net - - [07/Mar/2004:18:10:20 -0800]  ";" 4 , 96 , 589 ";"  200 3810"
"120";"64.242.88.10 - - [07/Mar/2004:18:17:26 -0800] ";"GET /twiki/bin/rdiff/TWiki/WikiWord?rev1=1.4&rev2=1.3 HTTP/1.1";" 200 6948"
"121";"64.242.88.10 - - [07/Mar/2004:18:17:26 -0800]  ";" 5 , 34 , 124 ";"  200 6948"
"122";"64.242.88.10 - - [07/Mar/2004:18:19:01 -0800] ";"GET /twiki/bin/edit/Main/TWikiPreferences?topicparent=Main.WebHome HTTP/1.1";" 401 12846"
"123";"64.242.88.10 - - [07/Mar/2004:18:19:01 -0800]  ";" 9 , 88 , 334 ";"  401 12846"
"124";"d207-6-9-183.bchsia.telus.net - - [07/Mar/2004:18:19:16 -0800] ";"GET /pipermail/cncce/2004-January.txt HTTP/1.1";" 200 3376"
"125";"d207-6-9-183.bchsia.telus.net - - [07/Mar/2004:18:19:16 -0800]  ";" 8 , 48 , 626 ";"  200 3376"
"126";"64.242.88.10 - - [07/Mar/2004:18:22:52 -0800] ";"GET /twiki/bin/search/Main/SearchResult?scope=text&regex=on&search=Web%20*Statistics[^A-Za-z] HTTP/1.1";" 200 3584"
"127";"64.242.88.10 - - [07/Mar/2004:18:22:52 -0800]  ";" 2 , 27 , 691 ";"  200 3584"
"128";"64.242.88.10 - - [07/Mar/2004:18:26:32 -0800] ";"GET /twiki/bin/rdiff/TWiki/PeterFokkinga?rev1=1.4&rev2=1.3 HTTP/1.1";" 200 4548"
"129";"64.242.88.10 - - [07/Mar/2004:18:26:32 -0800]  ";" 3 , 45 , 87 ";"  200 4548"
"130";"64.242.88.10 - - [07/Mar/2004:18:32:39 -0800] ";"GET /mailman/listinfo/dentalstudies HTTP/1.1";" 200 6345"
"131";"64.242.88.10 - - [07/Mar/2004:18:32:39 -0800]  ";" 9 , 96 , 682 ";"  200 6345"
"132";"64.242.88.10 - - [07/Mar/2004:18:34:42 -0800] ";"GET /twiki/bin/view/Main/TWikiGuest HTTP/1.1";" 200 4449"
"133";"64.242.88.10 - - [07/Mar/2004:18:34:42 -0800]  ";" 2 , 13 , 748 ";"  200 4449"
"134";"64.242.88.10 - - [07/Mar/2004:18:42:29 -0800] ";"GET /twiki/bin/attach/Main/TWikiGroups HTTP/1.1";" 401 12846"
"135";"64.242.88.10 - - [07/Mar/2004:18:42:29 -0800]  ";" 9 , 44 , 942 ";"  401 12846"
"136";"64.242.88.10 - - [07/Mar/2004:18:46:00 -0800] ";"GET /twiki/bin/rdiff/TWiki/TextFormattingRules?rev1=1.36&rev2=1.35 HTTP/1.1";" 200 25416"
"137";"64.242.88.10 - - [07/Mar/2004:18:46:00 -0800]  ";" 5 , 53 , 9 ";"  200 25416"
"138";"64.242.88.10 - - [07/Mar/2004:18:47:06 -0800] ";"GET /twiki/bin/rdiff/Main/TWikiGroups?rev1=1.3&rev2=1.2 HTTP/1.1";" 200 4308"
"139";"64.242.88.10 - - [07/Mar/2004:18:47:06 -0800]  ";" 3 , 24 , 399 ";"  200 4308"
"140";"64.242.88.10 - - [07/Mar/2004:18:48:15 -0800] ";"GET /twiki/bin/search/TWiki/?scope=topic&regex=on&search=.* HTTP/1.1";" 200 3544"
"141";"64.242.88.10 - - [07/Mar/2004:18:48:15 -0800]  ";" 8 , 13 , 534 ";"  200 3544"
"142";"64.242.88.10 - - [07/Mar/2004:18:52:30 -0800] ";"GET /twiki/bin/edit/Main/Trigger_timeout?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"143";"64.242.88.10 - - [07/Mar/2004:18:52:30 -0800]  ";" 5 , 15 , 438 ";"  401 12846"
"144";"64.242.88.10 - - [07/Mar/2004:18:53:55 -0800] ";"GET /twiki/bin/oops/TWiki/TWikiSite?template=oopsmore&param1=1.21&param2=1.21 HTTP/1.1";" 200 11284"
"145";"64.242.88.10 - - [07/Mar/2004:18:53:55 -0800]  ";" 8 , 30 , 644 ";"  200 11284"
"146";"64.242.88.10 - - [07/Mar/2004:18:57:07 -0800] ";"GET /twiki/bin/view/TWiki/TextFormattingRules?rev=r1.35 HTTP/1.1";" 200 27248"
"147";"64.242.88.10 - - [07/Mar/2004:18:57:07 -0800]  ";" 3 , 97 , 848 ";"  200 27248"
"148";"64.242.88.10 - - [07/Mar/2004:18:58:52 -0800] ";"GET /twiki/bin/edit/Main/Mydestination?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"149";"64.242.88.10 - - [07/Mar/2004:18:58:52 -0800]  ";" 7 , 41 , 126 ";"  401 12846"
"150";"64.242.88.10 - - [07/Mar/2004:18:59:52 -0800] ";"GET /mailman/listinfo/fcd HTTP/1.1";" 200 5967"
"151";"64.242.88.10 - - [07/Mar/2004:18:59:52 -0800]  ";" 7 , 84 , 523 ";"  200 5967"
"152";"64.242.88.10 - - [07/Mar/2004:19:01:48 -0800] ";"GET /twiki/bin/rdiff/Main/WebHome?rev1=1.28&rev2=1.27 HTTP/1.1";" 200 3596"
"153";"64.242.88.10 - - [07/Mar/2004:19:01:48 -0800]  ";" 1 , 62 , 657 ";"  200 3596"
"154";"64.242.88.10 - - [07/Mar/2004:19:03:58 -0800] ";"GET /twiki/bin/edit/Main/Message_size_limit?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"155";"64.242.88.10 - - [07/Mar/2004:19:03:58 -0800]  ";" 1 , 95 , 911 ";"  401 12846"
"156";"64.242.88.10 - - [07/Mar/2004:19:08:55 -0800] ";"GET /twiki/bin/rdiff/TWiki/TWikiHistory HTTP/1.1";" 200 138789"
"157";"64.242.88.10 - - [07/Mar/2004:19:08:55 -0800]  ";" 3 , 25 , 490 ";"  200 138789"
"158";"64.242.88.10 - - [07/Mar/2004:19:10:13 -0800] ";"GET /twiki/bin/search/TWiki/?scope=topic&regex=on&search=^y HTTP/1.1";" 200 3628"
"159";"64.242.88.10 - - [07/Mar/2004:19:10:13 -0800]  ";" 8 , 41 , 299 ";"  200 3628"
"160";"64.242.88.10 - - [07/Mar/2004:19:15:38 -0800] ";"GET /twiki/bin/edit/Main/Smtpd_history_flush_threshold?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12851"
"161";"64.242.88.10 - - [07/Mar/2004:19:15:38 -0800]  ";" 9 , 30 , 126 ";"  401 12851"
"162";"64.242.88.10 - - [07/Mar/2004:19:16:44 -0800] ";"GET /twiki/bin/view/TWiki/TWikiHistory?rev=1.59 HTTP/1.1";" 200 52854"
"163";"64.242.88.10 - - [07/Mar/2004:19:16:44 -0800]  ";" 2 , 91 , 94 ";"  200 52854"
"164";"64.242.88.10 - - [07/Mar/2004:19:18:05 -0800] ";"GET /twiki/bin/edit/Main/Sender_canonical_maps?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12851"
"165";"64.242.88.10 - - [07/Mar/2004:19:18:05 -0800]  ";" 2 , 44 , 858 ";"  401 12851"
"166";"64.242.88.10 - - [07/Mar/2004:19:19:19 -0800] ";"GET /mailman/listinfo/mlc HTTP/1.1";" 200 6142"
"167";"64.242.88.10 - - [07/Mar/2004:19:19:19 -0800]  ";" 4 , 78 , 560 ";"  200 6142"
"168";"64.242.88.10 - - [07/Mar/2004:19:21:01 -0800] ";"GET /twiki/bin/rdiff/Main/WebChanges HTTP/1.1";" 200 114241"
"169";"64.242.88.10 - - [07/Mar/2004:19:21:01 -0800]  ";" 5 , 62 , 926 ";"  200 114241"
"170";"64.242.88.10 - - [07/Mar/2004:19:22:11 -0800] ";"GET /twiki/bin/edit/Sandbox/TestTopic5?topicparent=Sandbox.WebHome HTTP/1.1";" 401 12846"
"171";"64.242.88.10 - - [07/Mar/2004:19:22:11 -0800]  ";" 9 , 26 , 18 ";"  401 12846"
"172";"64.242.88.10 - - [07/Mar/2004:19:24:57 -0800] ";"GET /twiki/bin/view/TWiki/TextFormattingRules?rev=r1.22 HTTP/1.1";" 200 21162"
"173";"64.242.88.10 - - [07/Mar/2004:19:24:57 -0800]  ";" 7 , 81 , 665 ";"  200 21162"
"174";"64.242.88.10 - - [07/Mar/2004:19:26:22 -0800] ";"GET /twiki/bin/search/TWiki/?scope=topic&regex=on&search=^j HTTP/1.1";" 200 4524"
"175";"64.242.88.10 - - [07/Mar/2004:19:26:22 -0800]  ";" 6 , 18 , 944 ";"  200 4524"
"176";"64.242.88.10 - - [07/Mar/2004:19:29:46 -0800] ";"GET /twiki/bin/oops/TWiki/TWikiVariables?template=oopsmore&param1=1.62&param2=1.62 HTTP/1.1";" 200 11444"
"177";"64.242.88.10 - - [07/Mar/2004:19:29:46 -0800]  ";" 8 , 7 , 199 ";"  200 11444"
"178";"64.242.88.10 - - [07/Mar/2004:19:31:25 -0800] ";"GET /twiki/bin/edit/Main/Lmtp_connect_timeout?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"179";"64.242.88.10 - - [07/Mar/2004:19:31:25 -0800]  ";" 1 , 25 , 356 ";"  401 12846"
"180";"64.242.88.10 - - [07/Mar/2004:19:32:45 -0800] ";"GET /twiki/bin/search/TWiki/?scope=topic&regex=on&search=^q HTTP/1.1";" 200 2937"
"181";"64.242.88.10 - - [07/Mar/2004:19:32:45 -0800]  ";" 4 , 4 , 858 ";"  200 2937"
"182";"64.242.88.10 - - [07/Mar/2004:19:36:14 -0800] ";"GET /twiki/bin/view/TWiki/ManagingWebs?rev=1.21 HTTP/1.1";" 200 9310"
"183";"64.242.88.10 - - [07/Mar/2004:19:36:14 -0800]  ";" 7 , 1 , 507 ";"  200 9310"
"184";"64.242.88.10 - - [07/Mar/2004:19:39:40 -0800] ";"GET /twiki/bin/edit/Main/Qmqpd_authorized_clients?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"185";"64.242.88.10 - - [07/Mar/2004:19:39:40 -0800]  ";" 4 , 33 , 262 ";"  401 12846"
"186";"64.242.88.10 - - [07/Mar/2004:19:41:33 -0800] ";"GET /twiki/bin/edit/Main/Header_address_token_limit?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"187";"64.242.88.10 - - [07/Mar/2004:19:41:33 -0800]  ";" 7 , 1 , 318 ";"  401 12846"
"188";"64.242.88.10 - - [07/Mar/2004:19:42:45 -0800] ";"GET /twiki/bin/edit/Main/Syslog_name?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"189";"64.242.88.10 - - [07/Mar/2004:19:42:45 -0800]  ";" 3 , 20 , 237 ";"  401 12846"
